,Downtime factor,,,,,,,,,,,
Batch,1,2,3,4,5,6,7,8,9,10,11,12
422111,,60,,,,,15,,,,,
422112,,20,,,,,,20,,,,
422113,,50,,,,,,,,,,
422114,,,,25,,15,,,,,,
422115,,,,,,,,,,24,,
422116,,,,,,,,,,,,
422117,,10,,,,5,,,,,,
422118,,,,,,14,16,,,,10,20
422119,,,,25,,,,,,,,
422120,,,,20,15,,,,17,,,
422121,,,,,,,15,,,,,
422122,,,,,,,25,,,,,
422123,,,,43,,,30,,,,,
422124,,,,,20,20,,,,,,
422125,,,,,,,,,,,10,10
422126,,,,,,,,44,,,,
422127,,,,,,23,,,,,,
422128,,,,,22,,30,,,,,
422129,,,,,,,,,,,,15
422130,,20,,,,,,,,,,
422131,,,,20,,,,,,10,,
422132,,,,,,,,,,,,
422133,,,,,,,20,,,,,
422134,,,,,,,30,20,,,,
422135,,,,30,,,,,,,,15
422136,,,,,,,,,,,,
422137,,,,,,,,30,,15,,
422138,,,20,,,,,,,,,
422139,,,,20,,15,,,,,,
422140,,,,,,50,,,,,13,
422141,,,,,,,,,,,,7
422142,,,,,,30,,,,,,
422143,,,,,,40,18,,,,,
422144,,,,,,30,,24,,,,
422145,,,22,,,,,,,,,
422146,,,,,,30,25,,,,,7
422147,,,,17,,60,30,,,,,
422148,,,,25,,,,7,,,,
